+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                        ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                    ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; inst2|jtag_uart                                                                                                                                              ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|sysid_qsys_0                                                                                                                                           ; 3     ; 15             ; 2            ; 15             ; 32     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                         ; 52    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|onchip_memory2_0                                                                                                                                       ; 55    ; 0              ; 1            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_jtag_debug_module_wrapper|the_my_sopc_nios2_qsys_0_jtag_debug_module_sysclk   ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_jtag_debug_module_wrapper|the_my_sopc_nios2_qsys_0_jtag_debug_module_tck      ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_jtag_debug_module_wrapper                                                     ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_im                                                                  ; 97    ; 36             ; 93           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_pib                                                                 ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_fifo|the_my_sopc_nios2_qsys_0_oci_test_bench                        ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_fifo|my_sopc_nios2_qsys_0_nios2_oci_fifocount_inc_fifocount         ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_fifo|my_sopc_nios2_qsys_0_nios2_oci_fifowp_inc_fifowp               ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_fifo|my_sopc_nios2_qsys_0_nios2_oci_compute_tm_count_tm_count       ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_fifo                                                                ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_dtrace|my_sopc_nios2_qsys_0_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_dtrace                                                              ; 101   ; 0              ; 90           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_itrace                                                              ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_dbrk                                                                ; 86    ; 0              ; 0            ; 0              ; 90     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_xbrk                                                                ; 52    ; 5              ; 49           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_break                                                               ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_avalon_reg                                                              ; 48    ; 0              ; 28           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_ocimem|my_sopc_nios2_qsys_0_ociram_sp_ram|the_altsyncram|auto_generated ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_ocimem|my_sopc_nios2_qsys_0_ociram_sp_ram                               ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_ocimem                                                                  ; 91    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci|the_my_sopc_nios2_qsys_0_nios2_oci_debug                                                               ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_nios2_oci                                                                                                        ; 153   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|my_sopc_nios2_qsys_0_register_bank_b|the_altsyncram|auto_generated                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|my_sopc_nios2_qsys_0_register_bank_b                                                                                                      ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|my_sopc_nios2_qsys_0_register_bank_a|the_altsyncram|auto_generated                                                                        ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|my_sopc_nios2_qsys_0_register_bank_a                                                                                                      ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0|the_my_sopc_nios2_qsys_0_test_bench                                                                                                       ; 266   ; 3              ; 229          ; 3              ; 34     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2|nios2_qsys_0                                                                                                                                           ; 148   ; 0              ; 31           ; 0              ; 106    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst2                                                                                                                                                        ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
